fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
6,packing_seed_64109,64109,mlp,3,0.13190127197646612,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.888559346991812,0.41505441386361436,9.756999925974409,-21.927362072644108,1,50,0.25,0.00012199394404888153,2.312723333016038,131
6,packing_seed_64109,64109,mlp,ensemble,0.13190127197646612,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.888559346991812,0.41505441386361436,9.756999925974409,-21.927362072644108,1,50,0.25,0.00035753590054810047,8.25993767590262,155.33333333333334
6,packing_seed_64109,64109,gnn,1,0.12973240353618387,0.10561517617477682,0.12017572643697158,0.16894686215059884,22.835001781843122,0.3808082319269729,7.952252407830862,-23.21111982503664,1,50,0.20481927710843373,0.0013541181106120348,13.030992951011285,125
6,packing_seed_64109,64109,gnn,2,0.13288775133661443,0.10561517617477682,0.12017572643697158,0.16894686215059884,25.822591174497212,0.43063080891687283,10.577863996778003,-21.343462882335984,1,50,0.21951219512195122,0.0013439720496535301,7.78245192207396,63
6,packing_seed_64109,64109,gnn,3,0.14028444699029385,0.10561517617477682,0.12017572643697158,0.16894686215059884,32.82603132540795,0.5474237781819457,16.73276388628171,-16.96534330111167,1,50,0.21951219512195122,0.0013428409583866596,11.704759369138628,72
6,packing_seed_64109,64109,gnn,ensemble,0.13664851079170648,0.10561517617477682,0.12017572643697158,0.16894686215059884,29.383404678106363,0.49001276594432014,13.707247580795245,-19.11746151881867,1,50,0.21951219512195122,0.0040409311186522245,32.518204242223874,86.66666666666667
7,packing_seed_72869,72869,mlp,1,0.13554113913601337,0.11074757091419682,0.12669375068080369,0.17539823277284528,22.38746007442971,0.38350060941409936,6.983287184780007,-22.72377150370154,1,50,0.28205128205128205,0.00010804296471178532,3.5978470598347485,212
7,packing_seed_72869,72869,mlp,2,0.13347655266264807,0.11074757091419682,0.12669375068080369,0.17539823277284528,20.52323275429746,0.35156611077154426,5.353698935737716,-23.90085660925052,1,50,0.26582278481012656,0.0001099549699574709,3.226154933916405,184
7,packing_seed_72869,72869,mlp,3,0.13321199920611904,0.11074757091419682,0.12669375068080369,0.17539823277284528,20.284353062088222,0.3474740651694829,5.144885592453274,-24.051686781451664,1,50,0.2345679012345679,0.00010586204007267952,3.9036549439188093,246
7,packing_seed_72869,72869,mlp,ensemble,0.133772796245104,0.11074757091419682,0.12669375068080369,0.17539823277284528,20.790727183304348,0.35614833118413064,5.587525451145159,-23.731958908417027,1,50,0.26582278481012656,0.00032385997474193573,10.727656937669963,214.0
7,packing_seed_72869,72869,gnn,1,0.14487812285276697,0.11074757091419682,0.12669375068080369,0.17539823277284528,30.818330060722744,0.5279226995880233,14.353014315423952,-17.400466035256056,1,50,0.3698630136986301,0.001318363007158041,8.568163882941008,68
7,packing_seed_72869,72869,gnn,2,0.14425001379661304,0.11074757091419682,0.12669375068080369,0.17539823277284528,30.251176261349055,0.5182072684060932,13.857244750801613,-17.758570587522204,1,50,0.3333333333333333,0.0013477019965648651,9.602364590857178,68
7,packing_seed_72869,72869,gnn,3,0.14106217436520987,0.11074757091419682,0.12669375068080369,0.17539823277284528,27.372702805824712,0.46889857859912704,11.341067422186013,-19.576057218377642,1,50,0.3333333333333333,0.001336144981905818,8.383441105019301,58
7,packing_seed_72869,72869,gnn,ensemble,0.14499361685837472,0.11074757091419682,0.12669375068080369,0.17539823277284528,30.92261587453733,0.5297091315020581,14.444174301600965,-17.334619302491472,1,50,0.35135135135135137,0.004002209985628724,26.553969578817487,64.66666666666667
